Date,Open,High,Low,Close,Adj Close,Volume
2019-09-19,462.799988,462.799988,456.450012,458.899994,439.954803,61765
2019-09-20,458.000000,469.000000,441.350006,446.049988,427.635315,205048
2019-09-23,446.000000,451.399994,433.200012,440.750000,422.554077,322444
2019-09-24,441.000000,453.500000,436.200012,451.700012,433.052063,78427
2019-09-25,451.500000,452.500000,442.000000,445.750000,427.347748,57769
2019-09-26,445.549988,449.549988,443.250000,447.100006,428.642029,51026
2019-09-27,447.250000,448.700012,442.250000,447.149994,428.689941,40332
2019-09-30,447.000000,448.899994,442.000000,447.149994,428.689941,35490
2019-10-01,445.000000,451.350006,438.750000,439.649994,421.499573,36125
2019-10-03,439.000000,439.000000,432.000000,433.850006,415.939026,38706
2019-10-04,432.549988,436.450012,425.000000,425.950012,408.365143,50692
2019-10-07,430.000000,435.000000,421.950012,432.399994,414.548859,78430
2019-10-09,432.950012,445.350006,431.500000,443.250000,424.950928,48942
2019-10-10,443.549988,444.000000,436.799988,439.399994,421.259857,21800
2019-10-11,440.549988,446.899994,440.250000,445.649994,427.251831,20720
2019-10-14,448.000000,456.600006,444.500000,454.700012,435.928253,44139
2019-10-15,459.850006,459.850006,443.250000,450.049988,431.470245,90516
2019-10-16,457.000000,457.000000,449.700012,455.850006,437.030792,47051
2019-10-17,454.950012,463.500000,454.250000,462.200012,443.118591,43732
2019-10-18,464.500000,468.000000,461.399994,466.899994,447.624542,101947
2019-10-22,466.000000,479.600006,466.000000,472.350006,452.849579,52489
2019-10-23,472.000000,478.149994,468.600006,471.799988,452.322205,41623
2019-10-24,473.450012,478.750000,464.549988,469.649994,450.261017,42637
2019-10-25,474.950012,474.950012,463.600006,465.350006,446.138550,26528
2019-10-27,470.000000,470.899994,467.950012,469.100006,449.733734,10717
2019-10-29,469.799988,469.899994,459.000000,465.899994,446.665833,81801
2019-10-30,467.000000,467.000000,456.850006,460.500000,441.488739,35937
2019-10-31,462.100006,464.600006,458.399994,462.500000,443.406250,29971
2019-11-01,462.500000,471.700012,461.600006,463.799988,444.652527,50095
2019-11-04,464.500000,467.799988,458.000000,459.750000,440.769775,37159
2019-11-05,460.000000,483.500000,455.649994,481.500000,461.621857,392484
2019-11-06,487.000000,488.149994,474.149994,476.299988,456.636536,181851
2019-11-07,480.000000,480.500000,472.350006,478.000000,458.266327,68338
2019-11-08,478.799988,484.250000,472.000000,473.700012,454.143829,52436
2019-11-11,475.000000,480.450012,471.950012,477.299988,457.595215,23428
2019-11-13,477.500000,480.600006,462.250000,463.700012,445.864471,46272
2019-11-14,463.750000,468.299988,455.899994,462.799988,444.999054,25713
2019-11-15,463.049988,465.600006,460.200012,461.450012,443.701019,15995
2019-11-18,462.299988,463.000000,452.250000,455.100006,437.595276,53792
2019-11-19,455.000000,456.399994,448.299988,454.299988,436.825989,53387
2019-11-20,456.500000,470.500000,455.799988,469.350006,451.297150,58989
2019-11-21,469.100006,473.500000,462.250000,464.100006,446.249084,64350
2019-11-22,464.200012,464.899994,457.399994,463.350006,445.527954,25334
2019-11-25,464.299988,470.700012,463.649994,469.750000,451.681763,22857
2019-11-26,472.049988,476.700012,459.549988,465.850006,447.931763,79304
2019-11-27,466.000000,470.049988,463.000000,469.149994,451.104828,27559
2019-11-28,473.700012,473.700012,464.600006,466.350006,448.412567,21476
2019-11-29,467.000000,467.000000,457.250000,459.250000,441.585602,115001
2019-12-02,460.000000,460.000000,449.299988,453.899994,436.441406,55622
2019-12-03,453.899994,454.549988,449.899994,451.049988,433.700989,37944
2019-12-04,455.899994,458.850006,446.200012,457.750000,440.143311,63220
2019-12-05,454.000000,467.100006,454.000000,466.100006,448.172211,49676
2019-12-06,469.250000,471.799988,460.799988,463.250000,445.431793,68816
2019-12-09,464.000000,468.399994,461.500000,465.049988,447.162506,17089
2019-12-10,464.049988,464.100006,455.299988,457.100006,439.518280,45775
2019-12-11,459.000000,459.000000,448.600006,451.299988,433.941437,241586
2019-12-12,452.500000,460.350006,452.000000,457.299988,439.710602,19337
2019-12-13,457.000000,462.500000,457.000000,459.899994,442.210602,16994
2019-12-16,468.700012,468.700012,455.950012,459.450012,441.777924,16730
2019-12-17,458.049988,462.299988,456.600006,460.500000,442.787506,128513
2019-12-18,461.000000,463.950012,457.500000,462.600006,444.806763,21507
